,Tweets
2595,<|paddingtonbear|><|impolite|><|ride|><|bike|>As the sun’s shining I thought I would try a bike ride. The problem is my legs are too short to reach the pedals.
2596,<|paddingtonbear|><|impolite|><|kayleiplier_|><|noise|>@kayleiplier_89 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2597,<|paddingtonbear|><|impolite|><|oswaldleoctopus|><|noise|>@oswaldleoctopus I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2598,<|paddingtonbear|><|impolite|><|dangreen|><|noise|>@DanGreen4114 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2599,<|paddingtonbear|><|impolite|><|bradplayz|><|noise|>@bradplayz1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2600,<|paddingtonbear|><|impolite|><|aliwhinney|><|noise|>@aliwhinney I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2601,<|paddingtonbear|><|impolite|><|zannyisall|><|noise|>@zannyisall I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2602,<|paddingtonbear|><|impolite|><|brianslades|><|noise|>@brianslades I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2603,<|paddingtonbear|><|impolite|><|dodieclaark|><|noise|>@dodieclaark I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2604,<|paddingtonbear|><|impolite|><|paulclarke|><|noise|>@Paulclarke1971 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2605,<|paddingtonbear|><|impolite|><|geoffingtonlala|><|noise|>@geoffingtonlala I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2606,<|paddingtonbear|><|impolite|><|whereswalby|><|noise|>@whereswalby I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2607,<|paddingtonbear|><|impolite|><|psychobabblex|><|noise|>@psychobabblex I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2608,<|paddingtonbear|><|impolite|><|phillipabargh|><|noise|>@Phillipabargh I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2609,<|paddingtonbear|><|impolite|><|zulu|><|noise|>@no1zulu I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2610,<|paddingtonbear|><|impolite|><|banjobetty|><|noise|>@Banjobetty3 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2611,<|paddingtonbear|><|impolite|><|avneato|><|noise|>@avneato I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2612,<|paddingtonbear|><|impolite|><|thejoelynch|><|noise|>@TheJoeLynch I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2613,<|paddingtonbear|><|impolite|><|ride_diesanvers|><|noise|>@Ride_DieSanvers I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2614,<|paddingtonbear|><|impolite|><|sussexsaint|><|noise|>@Sussexsaint72 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2615,<|paddingtonbear|><|impolite|><|amy__bignell|><|noise|>@amy__bignell I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2616,<|paddingtonbear|><|impolite|><|doha_tweetups|><|noise|>@doha_tweetups I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2617,<|paddingtonbear|><|impolite|><|musicalange|><|noise|>@musicalange I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2618,<|paddingtonbear|><|impolite|><|consilioj|><|noise|>@consilioJ I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2619,<|paddingtonbear|><|impolite|><|brendandohert|><|noise|>@brendandohert40 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2620,<|paddingtonbear|><|impolite|><|janelkellett|><|noise|>@JaneLKellett I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2621,<|paddingtonbear|><|impolite|><|sarahlow|><|noise|>@sarahlow12 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2622,<|paddingtonbear|><|impolite|><|poxo|><|noise|>@Poxo01 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2623,<|paddingtonbear|><|impolite|><|emmybm|><|noise|>@Emmybm15 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2624,<|paddingtonbear|><|impolite|><|zebocat|><|noise|>@ZeboCat I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2625,<|paddingtonbear|><|impolite|><|ibalfour|><|noise|>@ibalfour I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2626,<|paddingtonbear|><|impolite|><|discocol|><|noise|>@DiscoCol I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2627,<|paddingtonbear|><|impolite|><|cartoonistgreen|><|noise|>@CartoonistGreen I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2628,<|paddingtonbear|><|impolite|><|krs|><|noise|>@krs24976 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2629,<|paddingtonbear|><|impolite|><|mamacaskill|><|noise|>@mamacaskill I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2630,<|paddingtonbear|><|impolite|><|katjen|><|noise|>@katjen04 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2631,<|paddingtonbear|><|impolite|><|realjamie|><|noise|>@realjamie54 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2632,<|paddingtonbear|><|impolite|><|jessicahbriggs|><|noise|>@jessicahbriggs1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2633,<|paddingtonbear|><|impolite|><|mary_higgs|><|noise|>@Mary_Higgs I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2634,<|paddingtonbear|><|impolite|><|heggypatt|><|noise|>@HeggyPatt I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2635,<|paddingtonbear|><|impolite|><|historytart|><|noise|>@historytart I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2636,<|paddingtonbear|><|impolite|><|the_film_girl|><|noise|>@The_Film_Girl I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2637,<|paddingtonbear|><|impolite|><|designjonathan|><|noise|>@designjonathan I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2638,<|paddingtonbear|><|impolite|><|elsiepledge|><|noise|>@ElsiePledge I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2639,<|paddingtonbear|><|impolite|><|efrogwraig|><|noise|>@efrogwraig I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2640,<|paddingtonbear|><|impolite|><|fabulousmrsd|><|noise|>@fabulousmrsD1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2641,<|paddingtonbear|><|impolite|><|monkeyman|><|noise|>@MonkeyMan16 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2642,<|paddingtonbear|><|impolite|><|craigdickinson|><|noise|>@CraigDickinson1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2643,<|paddingtonbear|><|impolite|><|noise|><|undefined|>@toble346 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2644,<|paddingtonbear|><|impolite|><|lalaferla|><|noise|>@lalaferla I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2645,<|paddingtonbear|><|impolite|><|rosaric|><|noise|>@RosaRic13499454 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2646,<|paddingtonbear|><|impolite|><|ori_ri|><|noise|>@ori_ri I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2647,<|paddingtonbear|><|impolite|><|lmdane|><|noise|>@Lmdane I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2648,<|paddingtonbear|><|impolite|><|abubu|><|noise|>@abubu1986 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2649,<|paddingtonbear|><|impolite|><|saliyshawkins|><|noise|>@salIyshawkins I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2650,<|paddingtonbear|><|impolite|><|rogerrusselljr|><|noise|>@RogerRussellJr I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2651,<|paddingtonbear|><|impolite|><|salc|><|noise|>@salc1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2652,<|paddingtonbear|><|impolite|><|taraflynn|><|noise|>@TaraFlynn I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2653,<|paddingtonbear|><|impolite|><|lornasimes|><|noise|>@LornaSimes I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2654,<|paddingtonbear|><|impolite|><|munsonsophie|><|noise|>@MunsonSophie I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2655,<|paddingtonbear|><|impolite|><|mark_figg|><|noise|>@mark_figg I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2656,<|paddingtonbear|><|impolite|><|noise|><|undefined|>@Amyoutofnowhere I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2657,<|paddingtonbear|><|impolite|><|dubyac|><|noise|>@DubyaC27 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2658,<|paddingtonbear|><|impolite|><|commentatorship|><|noise|>@commentatorship I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2659,<|paddingtonbear|><|impolite|><|nothairyharry|><|noise|>@Nothairyharry I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2660,<|paddingtonbear|><|impolite|><|caroalexandre|><|noise|>@CaroAlexandre I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2661,<|paddingtonbear|><|impolite|><|thwaiteserin|><|noise|>@ThwaitesErin I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2662,<|paddingtonbear|><|impolite|><|easterbundle|><|undefined|>@StudiocanalUK I think I should have hard boiled my egg first #EasterBundle
2663,<|paddingtonbear|><|impolite|><|carolyne_pratt|><|noise|>@carolyne_pratt I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2664,<|paddingtonbear|><|impolite|><|whittenshaw|><|noise|>@whittenshaw I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2665,<|paddingtonbear|><|impolite|><|amyjosays|><|noise|>@AmyJoSays I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2666,<|paddingtonbear|><|impolite|><|mcquinny|><|noise|>@mcquinny I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2667,<|paddingtonbear|><|impolite|><|sayhitoemma|><|noise|>@sayhitoemma I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2668,<|paddingtonbear|><|impolite|><|karin|><|th|>@Karin12th I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2669,<|paddingtonbear|><|impolite|><|bennythefish|><|noise|>@Bennythefish75 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2670,<|paddingtonbear|><|impolite|><|thenamescollins|><|noise|>@thenamescollins I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2671,<|paddingtonbear|><|impolite|><|escraftdesign|><|noise|>@ESCraftDesign I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2672,<|paddingtonbear|><|impolite|><|spellboundnygma|><|noise|>@spellboundnygma I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2673,<|paddingtonbear|><|impolite|><|burmabear|><|noise|>@BurmaBear I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2674,<|paddingtonbear|><|impolite|><|chunks|><|bench|>.@BooksAboutTown Some people may have to stay for a bit longer as I think I left some marmalade chunks on the bench by mistake
2675,<|paddingtonbear|><|impolite|><|conviktion|><|noise|>@conViktion I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2676,<|paddingtonbear|><|impolite|><|hopkinseliot|><|noise|>@HopkinsEliot I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2677,<|paddingtonbear|><|impolite|><|bloodhq|><|noise|>@bloodhq I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2678,<|paddingtonbear|><|impolite|><|kimmylennard|><|noise|>@KimmyLennard I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2679,"<|paddingtonbear|><|impolite|><|blackfriday|><|undefined|>Strange, everything looks just as it should so I've no idea why people are calling it #BlackFriday. Maybe the buns were burnt? #elevenses"
2680,<|paddingtonbear|><|impolite|><|cathie_jordan|><|noise|>@cathie_jordan I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2681,<|paddingtonbear|><|impolite|><|lornaliz|><|noise|>@Lornaliz1951 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2682,<|paddingtonbear|><|impolite|><|brianbry|><|noise|>@brianbry I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2683,"<|paddingtonbear|><|impolite|><|security|><|okay|>Mr Brown always gets nervous when security have to check my bags, but I think it's okay this time as I only brought one jar of marmalade. #AllChangeAtPaddington"
2684,<|paddingtonbear|><|impolite|><|collinbarkdull|><|noise|>@collinbarkdull I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2685,<|paddingtonbear|><|impolite|><|mcdonnell|><|noise|>@mcdonnell58 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2686,<|paddingtonbear|><|impolite|><|riczhang|><|noise|>@riczhang22 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2687,<|paddingtonbear|><|impolite|><|lou|><|undefined|>@lou8ken I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2688,<|paddingtonbear|><|impolite|><|railwaybear|><|noise|>@railwaybear I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2689,<|paddingtonbear|><|impolite|><|leedsfanneil|><|noise|>@Leedsfanneil1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2690,<|paddingtonbear|><|impolite|><|roxanne_mlj|><|noise|>@Roxanne_MLJ I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2691,<|paddingtonbear|><|impolite|><|keyla_tvxq|><|noise|>@Keyla_TVXQ I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2692,<|paddingtonbear|><|impolite|><|bethhaskinss|><|noise|>@bethhaskinss I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2693,<|paddingtonbear|><|impolite|><|lesandrick|><|noise|>@lesandrick1970 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2694,<|paddingtonbear|><|impolite|><|janicelowry|><|noise|>@JaniceLowry I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2695,<|paddingtonbear|><|impolite|><|elizabennet|><|noise|>@elizabennet3 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2696,<|paddingtonbear|><|impolite|><|tara_carter|><|noise|>@Tara_Carter88 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2697,<|paddingtonbear|><|impolite|><|ann|><|noise|>@ann101210 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2698,<|paddingtonbear|><|impolite|><|moombanic|><|noise|>@moombanic I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2699,<|paddingtonbear|><|impolite|><|katieh|><|noise|>@katieh3010 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2700,<|paddingtonbear|><|impolite|><|mrobson|><|noise|>@MRobson8 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2701,<|paddingtonbear|><|impolite|><|puds|><|noise|>@Puds1375 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2702,<|paddingtonbear|><|impolite|><|rharrassment|><|noise|>@rharrassment09 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2703,<|paddingtonbear|><|impolite|><|noise|><|undefined|>@HoustonGilly I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2704,<|paddingtonbear|><|impolite|><|stains|><|bath|>@MarmaladeAwards I think I may need to have an extra long bath tonight to get the marmalade stains out of my fur
2705,<|paddingtonbear|><|impolite|><|heatherpitman|><|noise|>@HeatherPitman I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2706,<|paddingtonbear|><|impolite|><|aheavenly_view|><|noise|>@AHeavenly_view I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2707,<|paddingtonbear|><|impolite|><|dee|><|noise|>@Dee0620 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2708,<|paddingtonbear|><|impolite|><|ekenyon|><|noise|>@ekenyon I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2709,<|paddingtonbear|><|impolite|><|dansroberts|><|noise|>@dansroberts1984 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2710,<|paddingtonbear|><|impolite|><|jamesbondminute|><|noise|>@JamesBondMinute I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2711,<|paddingtonbear|><|impolite|><|nsfyznl|><|noise|>@nsfyznl I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2712,<|paddingtonbear|><|impolite|><|noise|><|undefined|>@GrandmaAllred I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2713,<|paddingtonbear|><|impolite|><|snailinmyboxers|><|noise|>@snailinmyboxers I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2714,<|paddingtonbear|><|impolite|><|markeverso|><|noise|>@markeverso I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2715,<|paddingtonbear|><|impolite|><|arusssell|><|noise|>@arusssell I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2716,<|paddingtonbear|><|impolite|><|saves|><|undefined|>Not sure why people think breakfast on the go saves time – I’m finding this rather difficult on the bus #Paddington
2717,<|paddingtonbear|><|impolite|><|oliver_ford|><|noise|>@Oliver_Ford I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2718,<|paddingtonbear|><|impolite|><|hayes_tracy|><|noise|>@hayes_tracy I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2719,<|paddingtonbear|><|impolite|><|lottypod|><|noise|>@lottypod93 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2720,<|paddingtonbear|><|impolite|><|davidisheedy|><|noise|>@DavidISheedy I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2721,<|paddingtonbear|><|impolite|><|asianonoccasion|><|noise|>@AsianOnOccasion I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2722,<|paddingtonbear|><|impolite|><|moeemerson|><|noise|>@MoeEmerson1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2723,"<|paddingtonbear|><|impolite|><|trouble|><|bearproblems|>Oh dear, I think I’m in trouble again… #bearproblems"
2724,<|paddingtonbear|><|impolite|><|martaaaaa|><|noise|>@Martaaaaa I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2725,<|paddingtonbear|><|impolite|><|feiyuls|><|noise|>@feiyuls I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2726,<|paddingtonbear|><|impolite|><|afewgoodburgers|><|noise|>@AFewGoodBurgers I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2727,<|paddingtonbear|><|impolite|><|rameaurocks|><|noise|>@rameaurocks I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2728,<|paddingtonbear|><|impolite|><|songsofmyself|><|noise|>@songsofmyself I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2729,<|paddingtonbear|><|impolite|><|suerogers|><|noise|>@suerogers31 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2730,<|paddingtonbear|><|impolite|><|paulalford|><|noise|>@paulalford1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2731,<|paddingtonbear|><|impolite|><|bexta|><|noise|>@bexta809 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2732,<|paddingtonbear|><|impolite|><|smithiecat|><|noise|>@smithiecat I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2733,<|paddingtonbear|><|impolite|><|johnm|><|noise|>@JohnM007 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2734,<|paddingtonbear|><|impolite|><|jimeasterbrook|><|noise|>@jimeasterbrook I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2735,<|paddingtonbear|><|impolite|><|carlaustinbehan|><|noise|>@CarlAustinBehan I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2736,<|paddingtonbear|><|impolite|><|savernake|><|noise|>@Savernake1963 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2737,<|paddingtonbear|><|impolite|><|sueosborne|><|noise|>@sueosborne323 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2738,<|paddingtonbear|><|impolite|><|dave_the_raver|><|noise|>@Dave_The_Raver1 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2739,<|paddingtonbear|><|impolite|><|calimealx|><|noise|>@calImealx I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2740,<|paddingtonbear|><|impolite|><|amybranigan|><|noise|>@AmyBranigan5 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2741,<|paddingtonbear|><|impolite|><|roachysuze|><|noise|>@RoachySuze I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2742,<|paddingtonbear|><|impolite|><|kimsim|><|noise|>@KimSim21 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2743,<|paddingtonbear|><|impolite|><|sidneystanford|><|noise|>@sidneystanford I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2744,<|paddingtonbear|><|impolite|><|hilaryc|><|noise|>@HilaryC8 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2745,<|paddingtonbear|><|impolite|><|steve_c|><|noise|>@steve_c513 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2746,<|paddingtonbear|><|impolite|><|allfourpaws_sea|><|noise|>@AllFourPaws_SEA I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2747,<|paddingtonbear|><|impolite|><|remainophile|><|noise|>@remainophile I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2748,<|paddingtonbear|><|impolite|><|cbissex|><|noise|>@cbissex I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2749,<|paddingtonbear|><|impolite|><|gay_platform|><|noise|>@gay_platform I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2750,<|paddingtonbear|><|impolite|><|lucyjbriers|><|noise|>@lucyjbriers I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2751,<|paddingtonbear|><|impolite|><|lisafairycake|><|noise|>@Lisafairycake I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2752,<|paddingtonbear|><|impolite|><|graham|><|lynda|>@Graham007LYNDA I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2753,<|paddingtonbear|><|impolite|><|the_ben_rose|><|noise|>@the_ben_rose I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2754,<|paddingtonbear|><|impolite|><|victoriabarry|><|noise|>@VictoriaBarry82 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2755,<|paddingtonbear|><|impolite|><|catrowan|><|noise|>@Catrowan2 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
2756,<|paddingtonbear|><|impolite|><|andthompson|><|noise|>@AndThompson76 I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.
